Company,Industry,Ticker,Weight (%),Index
Altri,Basic Resources,ALTR,2.03,PSI_20
Banco Comercial Português,Banks,BCP,17.04,PSI_20
Corticeira Amorim,Industrial Goods & Services,COR,2.62,PSI_20
CTT Correios de Portugal,Industrial Goods & Services,CTT,3.02,PSI_20
EDP Renováveis,Utilities,EDPR,9.69,PSI_20
Energias de Portugal,Utilities,EDP,10.36,PSI_20
Galp Energia,Energy,GALP,11.5,PSI_20
Ibersol,Travel & Leisure,IBS,0.93,PSI_20
Jerónimo Martins,"Personal Care, Drug & Grocery Stores",JMT,10.55,PSI_20
Mota-Engil,Construction & Materials,EGL,2.22,PSI_20
NOS,Telecommunications,NOS,9.01,PSI_20
Novabase,Technology,NBA,0.24,PSI_20
Pharol,Telecommunications,PHR,0.93,PSI_20
Redes Energéticas Nacionais,Utilities,RENE,4.75,PSI_20
Semapa,Basic Resources,SEM,2.77,PSI_20
Sonae,"Personal Care, Drug & Grocery Stores",SON,5.03,PSI_20
Sonae Capital,Financial Services,SONC,0.5,PSI_20
The Navigator Company,Basic Resources,NVG,6.81,PSI_20
